,Portfolio,NAME,WEIGHT,FUND_SDG01_ACHIEVE_SIGNAL,FUND_SDG02_ACHIEVE_SIGNAL,FUND_SDG03_ACHIEVE_SIGNAL,FUND_SDG04_ACHIEVE_SIGNAL,FUND_SDG05_ACHIEVE_SIGNAL,FUND_SDG06_ACHIEVE_SIGNAL,FUND_SDG07_ACHIEVE_SIGNAL,FUND_SDG08_ACHIEVE_SIGNAL,FUND_SDG09_ACHIEVE_SIGNAL,FUND_SDG10_ACHIEVE_SIGNAL,FUND_SDG11_ACHIEVE_SIGNAL,FUND_SDG12_ACHIEVE_SIGNAL,FUND_SDG13_ACHIEVE_SIGNAL,FUND_SDG14_ACHIEVE_SIGNAL,FUND_SDG15_ACHIEVE_SIGNAL,FUND_SDG16_ACHIEVE_SIGNAL,FUND_SDG17_ACHIEVE_SIGNAL
6,Cautious,Vanguard Developed Markets Index Fund;ETF,0.0985,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
7,Cautious,iShares JPMorgan USD Emerging Markets Bond ETF,0.0985,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
8,Cautious,iShares MSCI All Country Asia ex Japan ETF,0.0315,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
9,Cautious,Lyxor Core US TIPS (DR) UCITS ETF - Dist,0.1379,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
10,Cautious,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
0,China Growth,iShares China Large-Cap ETF,0.076,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
1,China Growth,SPDR S&P China ETF,0.226,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
2,China Growth,Global X MSCI China Consumer Discretionary ETF,0.216,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
3,China Growth,Invesco China Technology ETF,0.078,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
4,China Growth,WisdomTree China ex-State-Owned Enterprises Fund,0.252,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
5,China Growth,KraneShares Bosera MSCI China A 50 Connect Idx ETF,0.137,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
6,China Growth,CASH,0.015,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
0,Defensive,Invesco QQQ Trust Series 1,0.0482,Not Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
1,Defensive,Vanguard Total Stock Market Index Fund;ETF,0.0739,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
2,Defensive,iShares Gold Trust,0.0492,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,Defensive,Vanguard Short-Term Bond Index Fund;ETF,0.2462,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
4,Defensive,Vanguard Intermediate-Term Bond Index Fund;ETF,0.1871,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
5,Defensive,Vanguard Long-Term Bond Index Fund;ETF,0.0394,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned,Not Aligned
